"","hashtags","Freq","Count"
"1","China",0.0394552677671451,368689
"2","Breaking",0.011989001850397,112031
"3","Lockdown",0.0100707572737319,94106
"4","Blacklivesmatter",0.0091851008097721,85830
"5","India",0.00838098980564036,78316
"6","Hongkong",0.00804902915421413,75214
"7","Stayhome",0.00628670548958257,58746
"8","Ccp",0.00529264279096934,49457
"9","Pandemic",0.00464584389438001,43413
"10","Georgefloyd",0.00459201532969033,42910
"11","Trump",0.00403029338922087,37661
"12","Ebola",0.00372936709914654,34849
"13","Students",0.00357387424726959,33396
"14","Socialdistancing",0.00332741861211982,31093
"15","Postponeneetandjee",0.00325636062612787,30429
"16","Promote",0.00321569491125296,30049
"17","Delhi",0.00299866841186793,28021
"18","Indiafightscorona",0.00297747943411731,27823
"19","Justiceforandresguardado",0.00287677828228234,26882
"20","Pakistan",0.00285794363539291,26706
"21","Ladakh",0.00275392501734446,25734
"22","Iran",0.00249034697593157,23271
"23","Watch",0.00248595935932664,23230
"24","Chinese",0.0024762209907645,23139
"25","Cancelapexamspromotestudents",0.00234951518441741,21955
"26","Galwanvalley",0.00223993178433345,20931
"27","Stayathome",0.00215945647489679,20179
"28","Staysafe",0.0021493970612172,20085
"29","Beijing",0.00209685267699726,19594
"30","Sarscov2",0.0020950334213318,19577
"31","Blood",0.00204366620254244,19097
"32","Blm",0.00202247722479183,18899
"33","60Minutes",0.00198470091597382,18546
"34","Wearamask",0.00197517657748996,18457
"35","Maga",0.00196340492318407,18347
"36","All",0.00194382117102063,18164
"37","Indianarmy",0.00192038487744798,17945
"38","Junkterrorbill",0.00191685338115621,17912
"39","Canceltsexamspromotestudents",0.00189523634324903,17710
"40","Coronil",0.00181176461271632,16930
"41","Taiwan",0.00171941063393462,16067
"42","Tiktok",0.00169832867122315,15870
"43","Innerengineeringonline",0.00163219337703185,15252
"44","Dispatches",0.00160982723385065,15043
"45","Save",0.00157322809046324,14701
"46","Howyoulikethat",0.00155086194728204,14492
"47","Boycottchineseproducts",0.00153962536817187,14387
"48","College",0.00152100475136072,14213
"49","Globalgoalunite",0.0015195065408127,14199
"50","Mitchmcconnell",0.00147509529956773,13784
"51","Junkterrorbillnow",0.00145444139701285,13591
"52","Trumpvirus",0.00143978033665005,13454
"53","Fakenews",0.00142458420109153,13312
"54","Grandmananita",0.00142308599054351,13298
"55","Florida",0.00136155234303542,12723
"56","Pakchina",0.0013552384557259,12664
"57","Friendship",0.0013484965082598,12601
"58","Hydroxychloroquine",0.00132666544027432,12397
"59","Tiananmensquaremassacre",0.00131564289124244,12294
"60","Yulin",0.00130986407912863,12240
"61","Pmqs",0.00130868691369804,12229
"62","Idiotdeblasio",0.00127915076289416,11953
"63","Breakingnews",0.00127305090566293,11896
"64","Nhs",0.00127080358984089,11875
"65","Arizona",0.00126930537929287,11861
"66","Modisurrenderstochina",0.00125871089041756,11762
"67","Trump2020",0.00124982864216857,11679
"68","Chinesevirus",0.00123987624352813,11586
"69","Boycottchina",0.0012376289277061,11565
"70","Patanjali",0.00122114861167784,11411
"71","Coronaisnotajoke",0.00120905591225452,11298
"72","Indiachinafaceoff",0.00118476349836872,11071
"73","Uyghur",0.0011666779567533,10902
"74","Dogs",0.00116560780636185,10892
"75","Indian",0.00115758167842601,10817
"76","Usa",0.00115640451299542,10806
"77","Master",0.00115137480615563,10759
"78","Removechinaapps",0.0011500906256859,10747
"79","Gravitas",0.00114773629482472,10725
"80","Bluefall",0.00110856879049784,10359
"81","Mask",0.00110557236940179,10331
"82","Boycottmadeinchina",0.00110396714381462,10316
"83","Yemen",0.00109401474517418,10223
"84","Takingaknee",0.00107603621859791,10055
"85","Urgent",0.00107560815844133,10051
"86","Weakpresident",0.00107518009828475,10047
"87","Unamerican",0.00107421696293245,10038
"88","Killercuomo",0.00106715397034892,9972
"89","Nationalsecuritylaw",0.00106608381995747,9962
"90","Kanganaranaut",0.00106126814319597,9917
"91","Trumprecession",0.00105976993264794,9903
"92","Hindicheenibyebye",0.00105784366194334,9885
"93","Qanon",0.00104938947385093,9806
"94","Vaccine",0.00103472841348813,9669
"95","Telangana",0.00102884258633519,9614
"96","Hongkongers",0.00101889018769475,9521
"97","Brazil",0.00101257630038522,9462
"98","Oustduterte",0.00100155375135334,9359
"99","Auspol",0.00100059061600104,9350
"100","Galwan",0.000999734495687882,9342
