"","hashtags","Freq","Count"
"1","China",0.0215164290056517,130179
"2","Lockdown",0.0192697316161048,116586
"3","Cases",0.0173769060069611,105134
"4","Https",0.0142391657551287,86150
"5","Breaking",0.011386043534989,68888
"6","Hongkong",0.00949156509174717,57426
"7","Crisis",0.00885902548240442,53599
"8","And",0.00842548709847288,50976
"9","Testing",0.00742965455436783,44951
"10","Stayhome",0.0072567681077066,43905
"11","Trump",0.0065834034961408,39831
"12","Deaths",0.00650125764146524,39334
"13","India",0.00648357231661558,39227
"14","Patients",0.00630209113264423,38129
"15","Has",0.00623614305213006,37730
"16","Response",0.00526857397110251,31876
"17","Iran",0.00522378216704401,31605
"18","Hydroxychloroquine",0.00459636634340537,27809
"19","Indiafightscorona",0.00457173911534369,27660
"20","Aka",0.00453421978131683,27433
"21","Positive",0.00430150074030439,26025
"22","Update",0.00414233281665739,25062
"23","Vaccine",0.00402217177772555,24335
"24","Sarscov2",0.00385788006837444,23341
"25","Taiwan",0.00374466093265461,22656
"26","Ccp",0.0035902862278921,21722
"27","Fakenews",0.00348896749767859,21109
"28","Stayathome",0.00331227953259174,20040
"29","Stayalert",0.00317360675176118,19201
"30","Socialdistancing",0.00301724864608095,18255
"31","Death",0.00287609661410324,17401
"32","Who",0.00287345207954628,17385
"33","Outbreak",0.00287312151272666,17383
"34","Wuhan",0.00266585611682496,16129
"35","Chinesevirus",0.00264569154082814,16007
"36","Whitehouse",0.00262817149938829,15901
"37","Obamagate",0.00257098343959404,15555
"38","Qanon",0.00246553262413528,14917
"39","Watch",0.00235099122113697,14224
"40","Staysafe",0.0022404166199741,13555
"41","Pakistan",0.00221628524214185,13409
"42","Cdc",0.00212802390130333,12875
"43","Coronawarriors",0.00205910071941257,12458
"44","Borisjohnson",0.00204125011115309,12350
"45","Now",0.00196621144309937,11896
"46","Helpfultipstobeatcorona",0.00189166862527507,11445
"47","Trump2020",0.00188191690409628,11386
"48","Killercuomo",0.00187745425203142,11359
"49","Health",0.00187497500088427,11344
"50","Related",0.00186076062764061,11258
"51","Test",0.00183332358161215,11092
"52","Dominiccummings",0.00180935748718971,10947
"53","Situation",0.00179646538122453,10869
"54","Tests",0.00179034989506156,10832
"55","Usnscomfort",0.00170754290674677,10331
"56","Plandemic",0.00164490049442879,9952
"57","Odisha",0.00164027255895411,9924
"58","Georgefloyd",0.00163167782164399,9872
"59","Nhs",0.00161481891384338,9770
"60","Mentalhealth",0.00161068682859813,9745
"61","With",0.00159762943922314,9666
"62","Cummings",0.00158126638165195,9567
"63","Kag2020",0.0015604406720159,9441
"64","Relief",0.00150754998087671,9121
"65","Maga",0.00149730240946849,9059
"66","Covidiots",0.00148903823897799,9009
"67","Billgates",0.00146705554547327,8876
"68","Patient",0.00144573398560778,8747
"69","Are",0.00143102376213469,8658
"70","Quarantine",0.00142424714233249,8617
"71","Ramadan",0.00142391657551287,8615
"72","Mothersday",0.00140540483361415,8503
"73","Lockdownuk",0.00138193458942113,8361
"74","Wuhancoronavirus",0.00136177001342432,8239
"75","Auspol",0.00136160473001451,8238
"76","Kag",0.00135995189591641,8228
"77","Covid19uk",0.00135234885906515,8182
"78","Tcot",0.00135069602496705,8172
"79","Ccpvirus",0.00132739106418385,8031
"80","Ppe",0.00131763934300506,7972
"81","Case",0.00130325968635159,7885
"82","Healthcare",0.00129830118405729,7855
"83","Worldpressfreedomday",0.00129730948359843,7849
"84","Vaccines",0.00129334268176299,7825
"85","Ccot",0.00128970644674717,7803
"86","Smoking",0.00128739247900983,7789
"87","Wwg1wga",0.00127152527166808,7693
"88","News",0.00124838559429468,7553
"89","Will",0.00124524520950829,7534
"90","N95",0.00124111312426304,7509
"91","Remdesivir",0.00123995614039437,7502
"92","Cardiovascular",0.00123301423718235,7460
"93","Infection",0.00120243680636751,7275
"94","Usa",0.0011989658547615,7254
"95","Fauci",0.00119351150223777,7221
"96","Magats",0.00118838771653366,7190
"97","Isthisthewaytobarnardcastle",0.00117714844466659,7122
"98","Turkey",0.00116971069122514,7077
"99","Standwithhongkong",0.00115979368663654,7017
"100","Can",0.00115929783640711,7014
"101","Foxandfriends",0.00115533103457167,6990
"102","Heels",0.00114987668204794,6957
"103","Have",0.00113285249083751,6854
"104","Foxnews",0.00108310218448471,6553
"105","Cdnpoli",0.00106806139419201,6462
"106","Thelastdance",0.00106740026055277,6458
"107","Stayhomestaysafe",0.0010431035993107,6311
"108","Was",0.00102426129059237,6197
"109","Report",0.00102343487354332,6192
"110","Anonymous",0.00102260845649427,6187
"111","Takeresponsibility",0.00101831108783921,6161
"112","Giveaway",0.00101450956941358,6138
"113","For",0.00101021220075852,6112
"114","Migrantworkers",0.00100888993348004,6104
"115","Wuhanvirus",0.000994014426597142,6014
"116","Restrictions",0.000992857442728472,6007
"117","Nationaldayofprayer",0.000988560074073413,5981
"118","Gujarat",0.000985750256106644,5964
"119","Brexit",0.000980957037222154,5935
"120","Ladakh",0.000974676267649376,5897
"121","Stayhomesavelives",0.000968230214666787,5858
"122","Germany",0.000966907947388307,5850
"123","Data",0.000964428696241158,5835
"124","Brazil",0.000959470193946859,5805
"125","From",0.000958313210078189,5798
"126","Hongkongers",0.000945090537293392,5718
"127","Delhi",0.000943602986605102,5709
"128","Exposecbs",0.000943107136375672,5706
"129","Climatechange",0.000939636184769663,5685
"130","Africa",0.000928892763132015,5620
"131","Oann",0.000927239929033915,5610
"132","60Minutes",0.000927074645624105,5609
"133","Statistics",0.000919967459002277,5566
"134","Chinese",0.000917818774674747,5553
"135","Coronavirusuk",0.000908728187135199,5498
"136","But",0.000908397620315579,5496
"137","Wetmarkets",0.00090162100051337,5455
"138","New",0.00090129043369375,5453
"139","Staysafestayhealthy",0.000887902477499143,5372
"140","Wha73",0.000886745493630473,5365
"141","Icymi",0.000886580210220663,5364
"142","Russia",0.000886249643401043,5362
"143","Dogcatmeattrade",0.000879968873828265,5324
"144","Could",0.000878150756320355,5313
"145","Yesterday",0.000875340938353586,5296
"146","Infections",0.000872696403796626,5280
"147","Economy",0.000860300148060878,5205
"148","Recovery",0.000856168062815629,5180
"149","Maharashtra",0.000855672212586199,5177
"150","Symptoms",0.000839309155015013,5078
"151","Chinavirus",0.000829888000655845,5021
"152","Banyulin",0.000824598931541926,4989
"153","Australia",0.000823607231083066,4983
"154","Torkham",0.000815838910821997,4936
"155","Italy",0.000812863809445418,4918
"156","Georgia",0.000808070590560929,4889
"157","Trumpvirus",0.00080410378872549,4865
"158","Dogs",0.000798649436201761,4832
"159","Michigan",0.000794517350956512,4807
"160","Tanzania",0.000791872816399552,4791
"161","Syria",0.000791542249579932,4789
"162","Eidmubarak",0.000789062998432783,4774
"163","Webinar",0.000772038807222356,4671
"164","Israel",0.000768072005386917,4647
"165","Tamilnadu",0.000767410871747677,4643
"166","Nationalsecuritylaw",0.000764766337190718,4627
"167","Kerala",0.000761956519223948,4610
"168","Masks",0.000757989717388509,4586
"169","Maythe4th",0.000756832733519839,4579
"170","Xijinping",0.000756006316470789,4574
"171","Caa",0.00075352706532364,4559
"172","Spain",0.000741626659817322,4487
"173","Yemen",0.000740634959358462,4481
"174","Fight",0.000739643258899603,4475
"175","Quarantinelife",0.000733197205917014,4436
"176","Hcq",0.000732205505458154,4430
"177","Morningjoe",0.000728403987032525,4407
"178","Saudiarabia",0.000727742853393285,4403
"179","Nigeria",0.000727081719754045,4399
"180","Nyc",0.000724933035426516,4386
"181","During",0.000720800950181266,4361
"182","Factsarefriendly",0.000716173014706587,4333
"183","Madagascar",0.000711545079231908,4305
"184","Mumbai",0.000711545079231908,4305
"185","50Swomen",0.000711379795822098,4304
"186","Cnn",0.000710553378773048,4299
"187","Executiveorder",0.000709892245133808,4295
"188","California",0.000706090726708179,4272
"189","Democrats",0.00070377675897084,4258
"190","Research",0.00070245449169236,4250
"191","Trumpdeathtoll95k",0.000690058235956612,4175
"192","Nationalnursesday",0.000685265017072123,4146
"193","Live",0.000683942749793644,4138
"194","America",0.000676670279762005,4094
"195","Mptetjoining",0.000675513295893335,4087
"196","Buharidoppelgänger",0.000667910259042077,4041
"197","Memorialday",0.000667414408812647,4038
"198","Marr",0.000662125339698728,4006
"199","Dashboard",0.000657166837404429,3976
"200","Beijing",0.00065138191806108,3941
"201","Blacklivesmatter",0.000647910966455071,3920
"202","Lockdownextension",0.000646588699176591,3912
"203","Chennai",0.000645431715307921,3905
"204","Cycloneamphan",0.000644605298258872,3900
"205","This",0.000643613597800012,3894
"206","Srilanka",0.000640307929603812,3874
"207","Gravitas",0.000638820378915523,3865
"208","Spread",0.000636836977997803,3853
"209","Newyork",0.000633696593211414,3834
"210","Emergency",0.000633531309801604,3833
"211","X0nx6f3qzn",0.000627250540228825,3795
"212","Lka",0.000620473920426616,3754
"213","While",0.000619316936557947,3747
"214","Borishasfailed",0.000617994669279467,3739
"215","Palliatives",0.000617002968820607,3733
"216","Givingtuesdaynow",0.000615515418132317,3724
"217","Uae",0.000615515418132317,3724
"218","Deepstate",0.000611548616296878,3700
